source_project,source_family,strategy_code,strategy_name,version,ledger_path,ledger_sha256,rows,first_entry_date,last_exit_date,execution_basis
2trading,,,S25_macd_rsi_sma200,"v1 | stop=7.5%, RR=2 | capacity=15 | selection=mktcap | rotation=pnl",results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,4795,2007-06-20,2024-12-23,LEGACY_NOT_CORE_V6
2trading,,,S26_rsi14_sma200_dip,"v1 | stop=7.5%, RR=2 | capacity=15 | selection=alphabetical | rotation=none",results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,1192,2007-06-20,2024-12-20,LEGACY_NOT_CORE_V6
2trading,,S05,RANSAC/ATR Channel Below Mean Reversion,v1 | A_equal20_fifo,results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,3365,2017-08-24,2026-08-25,LEGACY_NOT_CORE_V6
2trading,,S06,RANSAC/ATR Channel Above Continuation,v1 | B_equal20_strength,results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,3346,2017-08-24,2026-08-25,LEGACY_NOT_CORE_V6
2trading,,S07,Bollinger Below Mean Reversion,v1 | B_equal20_strength,results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,14407,2016-09-26,2026-08-25,LEGACY_NOT_CORE_V6
2trading,,S08,Bollinger Above Continuation,v1 | C_uncapped_2pct,results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,9241,2016-09-26,2026-08-25,LEGACY_NOT_CORE_V6
2trading,,S09,Below Mean Reversion + ATR Fixed Stop,v2 | C_uncapped_2pct,results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,19306,2017-08-24,2026-08-25,LEGACY_NOT_CORE_V6
2trading,,S10,Above Continuation + ATR Target,v2 | B_equal20_strength,results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,4769,2017-08-24,2026-08-25,LEGACY_NOT_CORE_V6
2trading,,S11,Channel AND Bollinger,S11 v1 above | C_uncapped_2pct,results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,7222,2017-08-24,2026-08-25,LEGACY_NOT_CORE_V6
2trading,,S11,Channel AND Bollinger,S11 v1 below | C_uncapped_2pct,results/expanded_actual_trade_records_2026-09-13.csv,05255be78b48fb58ef7622d7edcac4dbfabdc88b8f511b80f7d7d073469e355a,6019,2017-08-24,2026-08-25,LEGACY_NOT_CORE_V6
